BridgePosition,TotalCost
489,375162.2728426834
490,375070.35203922435
491,374978.6649808035
492,374887.2121440724
493,374795.9940057567
494,374705.0110426483
495,374614.26373159717
496,374523.75254950335
497,374433.4779733084
498,374343.4404799877
499,374253.6405465416
500,374164.07864998735
501,374074.75526735076
502,373985.67087565747
503,373896.82595192466
504,373808.22097315243
505,373719.85641631536
506,373631.73275835346
507,373543.8504761638
508,373456.2100465917
509,373368.81194642175
510,373281.65665236907
511,373194.7446410706
512,373108.07638907566
513,373021.6523728374
514,372935.47306870355
515,372849.5389529072
516,372763.8505015578
517,372678.4081906321
518,372593.2124959645
519,372508.26389323804
520,372423.5628579748
521,372339.1098655269
522,372254.9053910667
523,372170.9499095773
524,372087.24389584333
525,372003.78782444086
526,371920.5821697281
527,371837.62740583584
528,371754.92400665715
529,371672.47244583815
530,371590.2731967679
531,371508.32673256856
532,371426.6335260855
533,371345.1940498776
534,371264.0087762064
535,371183.07817702706
536,371102.4027239776
537,371021.9828883688
538,370941.8191411743
539,370861.91195302014
540,370782.26179417456
541,370702.86913453735
542,370623.7344436301
543,370544.8581905852
544,370466.2408441356
545,370387.88287260436
546,370309.784743894
547,370231.946925476
548,370154.36988437996
549,370077.05408718326
550,370000.0
551,369923.2080884705
552,369846.6788177503
553,369770.4126524995
554,369694.41005687177
555,369618.67149450345
556,369543.1974285026
557,369467.98832143797
558,369393.04463532806
559,369318.3668316299
560,369243.9553712281
561,369169.81071442354
562,369095.93332092225
563,369022.32364982425
564,368948.98215961223
565,368875.9093081403
566,368803.10555262247
567,368730.5713496215
568,368658.3071550376
569,368586.31342409656
570,368514.59061133873
571,368443.1391706073
572,368371.9595550368
573,368301.0522170415
574,368230.41760830383
575,368160.056179763
576,368089.9683816028
577,368020.1546632404
578,367950.61547331454
579,367881.3512596735
580,367812.36246936367
581,367743.6495486175
582,367675.2129428418
583,367607.05309660593
584,367539.1704536297
585,367471.5654567716
586,367404.23854801693
587,367337.1901684657
588,367270.4207583208
589,367203.9307568756
590,367137.7206025026
591,367071.7907326406
592,367006.14158378326
593,366940.77359146666
594,366875.68719025725
595,366810.8828137396
596,366746.3608945046
597,366682.1218641368
598,366618.16615320253
599,366554.4941912376
600,366491.1064067352
601,366428.0032271332
602,366365.18507880246
603,366302.6523870342
604,366240.4055760278
605,366178.44506887853
606,366116.77128756506
607,366055.38465293735
608,365994.2855847042
609,365933.47450142074
610,365872.9518204765
611,365812.71795808244
612,365752.773329259
613,365693.1183478236
614,365633.75342637824
615,365574.6789762968
616,365515.8954077132
617,365457.4031295085
618,365399.2025492985
619,365341.2940734218
620,365283.6781069266
621,365226.3550535589
622,365169.3253157498
623,365112.589294603
624,365056.1473898825
625,365000.0
626,364944.1475220028
627,364888.59035156097
628,364833.32888295496
629,364778.36350906355
630,364723.6946213509
631,364669.3226098546
632,364615.2478631728
633,364561.47076845233
634,364507.99171137565
635,364454.8110761492
636,364401.9292454904
637,364349.3466006155
638,364297.0635212272
639,364245.0803855026
640,364193.3975700802
641,364142.01545004814
642,364090.9343989318
643,364040.15478868125
644,363989.6769896591
645,363939.5013706284
646,363889.6282987402
647,363840.0581395212
648,363790.79125686205
649,363741.82801300456
650,363693.1687685298
651,363644.8138823461
652,363596.7637116765
653,363549.01861204725
654,363501.5789372751
655,363454.4450394558
656,363407.61726895144
657,363361.0959743792
658,363314.8815025989
659,363268.974198701
660,363223.3744059949
661,363178.0824659972
662,363133.0987184193
663,363088.42350115627
664,363044.0571502744
665,363000.0
666,362956.25238270726
667,362912.8146289068
668,362869.68706723396
669,362826.87002443726
670,362784.3638253666
671,362742.1687929621
672,362700.2852482422
673,362658.71351029247
674,362617.4538962541
675,362576.50672131265
676,362535.8722986865
677,362495.55093961576
678,362455.54295335105
679,362415.84864714206
680,362376.4683262268
681,362337.40229382017
682,362298.650851103
683,362260.2142972112
684,362222.09292922454
685,362184.2870421561
686,362146.7969289412
687,362109.6228804266
688,362072.76518535987
689,362036.2241303786
690,362000.0
691,361964.09307661006
692,361928.50364045316
693,361893.2319696217
694,361858.2783400455
695,361823.6430254817
696,361789.3262975044
697,361755.3284254944
698,361721.649676629
699,361688.29031587223
700,361655.2506059644
701,361622.5308074125
702,361590.1311784801
703,361558.0519751777
704,361526.29345125274
705,361494.85585818026
706,361463.7394451529
707,361432.94445907173
708,361402.47114453645
709,361372.3197438362
710,361342.4904969401
711,361312.98364148824
712,361283.79941278225
713,361254.9380437762
714,361226.3997650677
715,361198.1848048889
716,361170.2933890977
717,361142.7257411686
718,361115.4820821847
719,361088.5626308282
720,361061.96760337247
721,361035.69721367327
722,361009.7516731606
723,360984.13119083014
724,360958.83597323514
725,360933.86622447823
726,360909.2221462035
727,360884.9039375885
728,360860.91179533605
729,360837.24591366685
730,360813.9064843117
731,360790.8936965035
732,360768.2077369703
733,360745.8487899273
734,360723.81703707017
735,360702.112657567
736,360680.7358280517
737,360659.68672261667
738,360638.965512806
739,360618.57236760843
740,360598.5074534507
741,360578.7709341906
742,360559.3629711106
743,360540.2837229115
744,360521.5333457055
745,360503.1119930104
746,360485.0198157431
747,360467.2569622136
748,360449.82357811905
749,360432.7198065376
750,360415.94578792294
751,360399.5016600982
752,360383.38755825075
753,360367.6036149262
754,360352.1499600236
755,360337.0267207895
756,360322.23402181326
757,360307.77198502177
758,360293.6407296745
759,360279.84037235833
760,360266.37102698325
761,360253.23280477745
762,360240.4258142826
763,360227.9501613498
764,360215.80594913464
765,360203.9932780937
766,360192.5122459798
767,360181.36294783815
768,360170.54547600256
769,360160.0599200916
770,360149.90636700473
771,360140.0849009189
772,360130.595603285
773,360121.43855282455
774,360112.61382552626
775,360104.12149464316
776,360095.96163068933
777,360088.1343014371
778,360080.63957191433
779,360073.47750440147
780,360066.6481584291
781,360060.1515907755
782,360053.98785546445
783,360048.15700376243
784,360042.6590841772
785,360037.49414245534
786,360032.66222158034
787,360028.16336177103
788,360023.99760047987
789,360020.1649723912
790,360016.66550942
791,360013.4992407104
792,360010.66619263473
793,360008.16638879204
794,360005.9998500075
795,360004.1665943312
796,360002.6666370377
797,360001.49999062513
798,360000.6666648148
799,360000.1666665509
800,360000.0
